 === Showing param === 
 NB_LINES:           5
 NB_RULES:           3
 NB_FAM:          2
 NB_SIM:          0
 ALPHA:           2
 SEGM_STRAT:      0
 HOMEMADE_RULES:  0
 DISTANCE_RULE:   3600
 ANGLES   330 15 145 195
 DELTA_OR / DELTA_DIST:   0	0

2020-Apr-03 15:53:45
	 nb edge fam 1: 56	nb edge fam 2: 53

Inter_Section_4_5_Fs03_fault	25483.7	120174	2379
Inter_Section_4_5_Fs05_fault	23075	119531	3315.03
Inter_Section_3_5_F62_fault	25375	118644	3650.25
Inter_Section_4_5_F62_fault	25209.9	120101	3019.54
Inter_Section_2_5_F63_fault	25421.5	117156	2981.83
Inter_Section_3_5_F58_fault	29004.5	119612	2737.25
Inter_Section_4_5_F58_fault	28322.3	120931	2835.77
Inter_Section_3_5_F59_fault	28580.9	119499	3056.55
Inter_Section_4_5_F59_fault	28065.1	120862	3324.94
Inter_Section_3_5_F66_fault	24687.2	118461	2852.67
Inter_Section_4_5_F65_fault	24668.8	119956	2819.68
Inter_Section_4_5_F68_fault	24076.3	119798	3316
Inter_Section_3_5_Fs07_fault	23558	118159	4480.55
Inter_Section_4_5_Fs07_fault	23572.4	119664	4088.95
Inter_Section_4_5_Fs01_fault	25170.2	120090	2480.3
Inter_Section_0_5_Fs08_fault	25072.4	114061	3156.41
Inter_Section_4_5_Fs06_fault	23947.9	119764	3954.08
Inter_Section_2_5_F60_fault	28486.4	117973	3563.47
Inter_Section_3_5_F60_fault	27899.4	119317	3508.51
Inter_Section_0_5_F73_fault	28127.6	114876	3108.05
Inter_Section_2_5_F72ter_fault	25276.2	117117	4615.66
Inter_Section_4_5_F61_fault	25424.9	120158	3116.26
Inter_Section_4_5_Fs02_fault	24892.6	120016	2821.33
Inter_Section_0_5_F72_fault	25827.2	114263	3841.55
Inter_Section_1_5_F72_fault	26229.7	115871	3568.29
Inter_Section_2_5_F72_fault	26186.1	117360	3279.83
Inter_Section_0_5_F72bis_fault	25566.4	114193	4366.19
Inter_Section_1_5_F72bis_fault	25307.4	115625	4409.58
Inter_Section_2_5_F72bis_fault	25114.8	117074	4582.94
Inter_Section_2_5_F69_fault	23952.4	116764	3286.97
Inter_Section_3_5_F69_fault	24358.2	118373	3771.37
Inter_Section_4_5_Fs04_fault	24977.9	120039	2577.68
Inter_Section_0_5_F70_fault	25543.2	114187	3395.14
Inter_Section_2_5_F69bis_fault	24812.9	116993	4446.8
Inter_Section_3_5_F69bis_fault	24674	118457	4488.52


-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	0	-1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	
0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	
